CONCEPT_ID,CONCEPT_NAME,NUM_PERSONS,PERCENT_PERSONS,RECORDS_PER_PERSON,P25_VALUE,MEDIAN_VALUE,P75_VALUE,PERCENT_PERSONS_NTILE,RECORDS_PER_PERSON_NTILE
1103314,tramadol,19,0.0161, 1.0,1959,2273,2420,5,6
1346823,carvedilol,19,0.0161, 1.0,374,583,1125,5,6
1545958,atorvastatin,19,0.0161, 1.0,0,0,0,5,6
1315942,docetaxel,17,0.0144, 1.0,0,0,0,5,6
1351541,leuprolide,17,0.0144, 1.0,0,0,0,5,6
1378382,paclitaxel,15,0.0127,19.8,0,0,29,5,1
1507835,vasopressin (USP),15,0.0127, 1.0,0,0,0,5,6
1367500,losartan,15,0.0127, 1.0,220,574,1101,5,6
1309944,amiodarone,14,0.0119, 1.0,0,0,0,6,6
715997,donepezil,14,0.0119, 1.0,0,0,300,6,6
798874,clonazepam,14,0.0119, 1.9,63,112,161,6,1
914335,atropine,14,0.0119, 1.0,0,0,0,6,7
1397599,cisplatin,13,0.0110,22.7,0,0,29,6,1
1551099,prednisone,13,0.0110, 1.2,0,0,0,6,2
1201620,codeine,12,0.0102, 1.0,1973,2187,2336,6,7
723013,diazepam,11,0.0093, 1.5,0,91,147,6,1
742185,atomoxetine,11,0.0093, 1.0,0,91,1163,6,7
1150770,astemizole,10,0.0085, 1.0,0,0,0,6,7
718583,nicotine,10,0.0085, 1.0,0,0,0,6,7
740275,carbamazepine,10,0.0085, 2.4,0,133,189,6,1
1149196,cetirizine,10,0.0085, 1.0,0,0,0,6,7
1167322,allopurinol,8,0.0068, 1.1,14,14,21,7,3
1110410,morphine,7,0.0059, 1.0,0,0,0,7,7
708298,midazolam,7,0.0059, 1.0,0,0,0,7,7
1308842,valsartan,7,0.0059, 1.0,617,1125,1905,7,7
1367571,heparin,7,0.0059, 1.0,0,0,0,7,7
46275719,sacubitril,7,0.0059, 1.0,617,1125,1905,7,7
1000560,ondansetron,7,0.0059, 1.0,0,0,0,7,7
19003953,rocuronium,7,0.0059, 1.0,0,0,0,7,7
753626,propofol,7,0.0059, 1.0,0,0,0,7,8
739138,sertraline,7,0.0059, 1.0,0,0,0,7,8
967823,sodium chloride,7,0.0059, 1.0,4,6,9,7,8
1133201,buprenorphine,6,0.0051, 1.0,1728,1996,2246,7,8
1114220,naloxone,6,0.0051, 1.0,1728,1996,2246,7,8
1112807,aspirin,5,0.0042, 1.2,14,21,30,8,2
755695,fluoxetine,5,0.0042, 1.0,0,98,195,8,8
1501700,levothyroxine,5,0.0042, 1.0,0,0,0,8,8
836654,tacrine,4,0.0034, 1.0,300,300,630,8,8
1503184,mestranol,4,0.0034, 1.5,360,360,360,8,1
1595799,ferrous fumarate,4,0.0034, 1.2,360,360,360,8,2
782043,isoflurane,4,0.0034, 1.0,0,0,0,8,8
1436678,tamoxifen,3,0.0025, 1.0,0,0,0,8,8
19010482,cyclosporine,3,0.0025, 1.3,14,14,14,8,2
705944,methylphenidate,3,0.0025, 1.0,0,105,4025,8,8
1777087,hydroxychloroquine,3,0.0025, 1.0,0,0,0,8,8
19002770,desflurane,3,0.0025, 1.0,0,0,0,8,8
1101554,colchicine,3,0.0025, 1.0,14,14,21,8,9
19059528,alfentanil,2,0.0017, 1.0,0,0,0,9,9
792649,abemaciclib,2,0.0017, 1.0,0,0,0,9,9
1510627,baricitinib,2,0.0017, 1.0,0,0,0,9,9
19078219,sufentanil,2,0.0017, 1.0,0,0,0,9,9
1792515,chloroquine,2,0.0017, 1.0,0,0,0,9,9
37499271,remdesivir,2,0.0017, 1.0,0,0,0,9,9
1301125,epoetin alfa,2,0.0017, 1.0,478,478,624,9,9
1150836,terfenadine,2,0.0017, 1.0,0,0,0,9,9
1344354,epirubicin,2,0.0017, 1.0,143,143,143,9,9
19016749,remifentanil,2,0.0017, 1.0,0,0,0,9,9
1310317,cyclophosphamide,2,0.0017, 1.0,140,140,142,9,9
734354,pregabalin,1,0.0008, 1.0,30,30,30,9,9
45892075,palbociclib,1,0.0008, 1.0,0,0,0,9,10
1717327,ampicillin,1,0.0008, 1.0,14,14,14,10,10
715259,duloxetine,1,0.0008, 2.0,30,30,30,10,1
1768849,cefaclor,1,0.0008, 1.0,14,14,14,10,10
40171288,tocilizumab,1,0.0008, 1.0,0,0,0,10,10
1315946,letrozole,1,0.0008, 1.0,0,0,0,10,10
40226742,olmesartan,1,0.0008, 1.0,0,0,0,10,10
1125443,dornase alfa,1,0.0008, 1.0,0,0,0,10,10
1734104,azithromycin,1,0.0008, 1.0,0,0,0,10,10
1305058,methotrexate,1,0.0008, 1.0,0,0,0,10,10
1592911,ribociclib,1,0.0008, 1.0,0,0,0,10,10
1550023,insulin lispro,1,0.0008, 1.0,6349,6349,6349,10,10
1714319,naltrexone,1,0.0008, 1.0,0,0,0,10,10
19080226,milnacipran,1,0.0008, 1.0,30,30,30,10,10
