CDM_TABLE_NAME,CDM_FIELD_NAME,SOURCE_VALUE,RECORD_COUNT
observation,observation_source_value,414564002,1
drug_exposure,drug_source_value,162573006,13
drug_exposure,drug_source_value,185086009,14
drug_exposure,drug_source_value,248595008,312
drug_exposure,drug_source_value,21,207
drug_exposure,drug_source_value,39848009,56
drug_exposure,drug_source_value,302297009,2
observation,observation_source_value,314994000,3
drug_exposure,drug_source_value,40095003,12
measurement,unit_source_value,ratio,5
drug_exposure,drug_source_value,91302008,31
drug_exposure,drug_source_value,35999006,18
drug_exposure,drug_source_value,69896004,4
observation,observation_source_value,414667000,2
observation,observation_source_value,25064002,124
drug_exposure,drug_source_value,119,187
drug_exposure,drug_source_value,44465007,117
drug_exposure,drug_source_value,446096008,32
drug_exposure,drug_source_value,246677007,5
observation,unit_source_value,,16069
drug_exposure,drug_source_value,233604007,184
drug_exposure,drug_source_value,114,428
observation,observation_source_value,233678006,21
drug_exposure,drug_source_value,241929008,15
observation,observation_source_value,86175003,13
drug_exposure,drug_source_value,47505003,2
drug_exposure,drug_source_value,389087006,172
measurement,unit_source_value,{nominal},4893
observation,observation_source_value,302870006,86
drug_exposure,drug_source_value,427419006,7
observation,observation_source_value,44465007,117
drug_exposure,drug_source_value,363406005,8
drug_exposure,drug_source_value,83,202
observation,observation_source_value,373587001,2
drug_exposure,drug_source_value,770349000,61
drug_exposure,drug_source_value,133,516
condition_occurrence,condition_source_value,408512008,10
drug_exposure,drug_source_value,30832001,7
observation,observation_source_value,283385000,35
drug_exposure,drug_source_value,1734006,1
observation,observation_source_value,65710008,91
drug_exposure,drug_source_value,56018004,171
observation,observation_source_value,75498004,84
observation,observation_source_value,43724002,102
drug_exposure,drug_source_value,444470001,6
drug_exposure,drug_source_value,43724002,102
observation,observation_source_value,363406005,8
observation,observation_source_value,27942005,3
drug_exposure,drug_source_value,233678006,21
observation,observation_source_value,64859006,57
observation,observation_source_value,59621000,321
observation,observation_source_value,53827007,1
drug_exposure,drug_source_value,283371005,35
observation,observation_source_value,235595009,5
observation,observation_source_value,55680006,38
drug_exposure,drug_source_value,427089005,1
drug_exposure,drug_source_value,79586000,37
procedure_occurrence,modifier_source_value,,30599
drug_exposure,drug_source_value,75498004,84
drug_exposure,drug_source_value,65275009,7
observation,observation_source_value,1551000119108,15
observation,observation_source_value,422587007,65
drug_exposure,drug_source_value,399912005,2
observation,observation_source_value,56018004,171
drug_exposure,drug_source_value,128188000,5
observation,observation_source_value,422034002,27
observation,observation_source_value,443165006,19
observation,observation_source_value,192127007,19
drug_exposure,drug_source_value,43,324
drug_exposure,drug_source_value,230265002,8
drug_exposure,drug_source_value,74400008,62
drug_exposure,drug_source_value,68962001,157
drug_exposure,drug_source_value,196416002,46
drug_exposure,drug_source_value,444448004,9
observation,observation_source_value,367498001,22
drug_exposure,drug_source_value,232353008,23
drug_exposure,drug_source_value,15724005,1
observation,observation_source_value,79586000,37
drug_exposure,drug_source_value,22298006,26
observation,observation_source_value,49436004,42
drug_exposure,drug_source_value,84114007,8
observation,observation_source_value,19169002,200
drug_exposure,drug_source_value,307731004,14
drug_exposure,drug_source_value,44054006,87
observation,observation_source_value,5602001,13
observation,observation_source_value,398152000,3
drug_exposure,drug_source_value,140,9862
drug_exposure,drug_source_value,127013003,37
drug_exposure,drug_source_value,94260004,4
observation,observation_source_value,275272006,9
drug_exposure,drug_source_value,121,328
observation,observation_source_value,389087006,172
drug_exposure,drug_source_value,88805009,37
condition_occurrence,condition_source_value,703151001,36
observation,observation_source_value,237602007,86
drug_exposure,drug_source_value,110030002,6
drug_exposure,drug_source_value,195967001,5
drug_exposure,drug_source_value,87433001,12
drug_exposure,drug_source_value,57676002,157
observation,observation_source_value,444814009,1255
condition_occurrence,condition_source_value,399211009,26
drug_exposure,drug_source_value,66857006,8
observation,observation_source_value,84114007,8
drug_exposure,drug_source_value,449868002,9
observation,observation_source_value,62106007,68
observation,observation_source_value,87628006,2
drug_exposure,drug_source_value,713197008,31
drug_exposure,drug_source_value,284551006,26
observation,observation_source_value,444470001,6
observation,observation_source_value,249497008,65
observation,observation_source_value,368581000119106,35
observation,observation_source_value,239873007,58
drug_exposure,drug_source_value,33,118
observation,observation_source_value,197927001,18
drug_exposure,drug_source_value,40275004,3
condition_occurrence,condition_source_value,162573006,13
drug_exposure,drug_source_value,93761005,3
drug_exposure,drug_source_value,370143000,7
observation,observation_source_value,33737001,23
measurement,unit_source_value,U/L,13561
observation,observation_source_value,234466008,8
observation,observation_source_value,195662009,722
drug_exposure,drug_source_value,33737001,23
observation,observation_source_value,69896004,4
measurement,unit_source_value,"",6768
drug_exposure,drug_source_value,283385000,35
observation,observation_source_value,403191005,25
drug_exposure,drug_source_value,278860009,200
observation,observation_source_value,203082005,24
drug_exposure,drug_source_value,1501000119109,5
drug_exposure,drug_source_value,429007001,36
observation,observation_source_value,230745008,2
observation,observation_source_value,254837009,23
drug_exposure,drug_source_value,161622006,2
observation,observation_source_value,68566005,2
observation,observation_source_value,241929008,15
observation,observation_source_value,278860009,200
observation,observation_source_value,22253000,2
observation,observation_source_value,1121000119107,119
drug_exposure,drug_source_value,198992004,30
drug_exposure,drug_source_value,271825005,172
observation,observation_source_value,124171000119105,52
drug_exposure,drug_source_value,36955009,471
drug_exposure,drug_source_value,1121000119107,119
drug_exposure,drug_source_value,235595009,5
person,ethnicity_source_value,hispanic,111
drug_exposure,drug_source_value,262574004,6
drug_exposure,drug_source_value,428251008,62
drug_exposure,drug_source_value,64859006,57
drug_exposure,drug_source_value,84229001,348
observation,observation_source_value,47505003,2
drug_exposure,drug_source_value,284549007,29
observation,observation_source_value,97331000119101,7
observation,observation_source_value,65363002,163
observation,observation_source_value,83664006,5
observation,observation_source_value,301011002,28
drug_exposure,drug_source_value,7200002,10
observation,observation_source_value,232353008,23
drug_exposure,drug_source_value,235919008,7
observation,observation_source_value,221360009,2
drug_exposure,drug_source_value,19169002,200
drug_exposure,drug_source_value,82423001,40
person,race_source_value,native,7
observation,observation_source_value,706870000,58
drug_exposure,drug_source_value,275272006,9
observation,observation_source_value,40275004,3
observation,observation_source_value,74400008,62
observation,observation_source_value,370143000,7
observation,observation_source_value,87433001,12
drug_exposure,drug_source_value,49436004,42
observation,observation_source_value,94260004,4
observation,observation_source_value,359817006,16
observation,observation_source_value,713197008,31
drug_exposure,drug_source_value,14760008,1
observation,observation_source_value,36955009,471
drug_exposure,drug_source_value,16114001,28
observation,observation_source_value,7200002,10
drug_exposure,drug_source_value,408512008,10
drug_exposure,drug_source_value,301011002,28
observation,observation_source_value,66857006,8
observation,observation_source_value,110359009,3
observation,observation_source_value,370247008,34
drug_exposure,drug_source_value,97331000119101,7
observation,observation_source_value,254637007,13
observation,observation_source_value,267036007,171
observation,observation_source_value,398254007,24
observation,observation_source_value,128188000,5
drug_exposure,drug_source_value,386661006,802
drug_exposure,drug_source_value,20,500
measurement,unit_source_value,{#},5
observation,observation_source_value,427419006,7
drug_exposure,drug_source_value,10,409
observation,observation_source_value,239872002,21
drug_exposure,drug_source_value,267102003,136
condition_occurrence,condition_status_source_value,,15505
drug_exposure,drug_source_value,370247008,34
observation,observation_source_value,16114001,28
observation,observation_source_value,431856006,2
observation,observation_source_value,68496003,99
drug_exposure,drug_source_value,302870006,86
observation,observation_source_value,84757009,22
drug_exposure,drug_source_value,68235000,39
observation,observation_source_value,302297009,2
observation,observation_source_value,198992004,30
observation,observation_source_value,235919008,7
drug_exposure,drug_source_value,25064002,124
drug_exposure,drug_source_value,300916003,2
observation,observation_source_value,109838007,9
observation,observation_source_value,431855005,37
drug_exposure,drug_source_value,90781000119102,2
observation,observation_source_value,233604007,184
drug_exposure,drug_source_value,40055000,263
observation,observation_source_value,201834006,18
drug_exposure,drug_source_value,373587001,2
measurement,unit_source_value,m[IU]/L,3
drug_exposure,drug_source_value,410429000,36
drug_exposure,drug_source_value,422034002,27
drug_exposure,drug_source_value,62564004,20
observation,observation_source_value,840539006,881
drug_exposure,drug_source_value,58150001,34
observation,observation_source_value,92691004,17
observation,observation_source_value,427089005,1
observation,observation_source_value,65275009,7
drug_exposure,drug_source_value,424132000,13
drug_exposure,drug_source_value,367498001,22
drug_exposure,drug_source_value,87628006,2
drug_exposure,drug_source_value,431856006,2
observation,observation_source_value,406602003,1
drug_exposure,drug_source_value,76571007,19
observation,observation_source_value,90560007,10
drug_exposure,drug_source_value,840544004,913
drug_exposure,drug_source_value,398152000,3
drug_exposure,drug_source_value,239720000,5
observation,observation_source_value,67782005,26
drug_exposure,drug_source_value,368581000119106,35
observation,observation_source_value,267102003,136
drug_exposure,drug_source_value,62,427
drug_exposure,drug_source_value,314994000,3
drug_exposure,drug_source_value,124171000119105,52
drug_exposure,drug_source_value,70704007,45
drug_exposure,drug_source_value,237602007,86
measurement,unit_source_value,[pH],1119
drug_exposure,drug_source_value,288959006,1
measurement,unit_source_value,mL/min/{1.73_m2},2538
drug_exposure,drug_source_value,15777000,362
drug_exposure,drug_source_value,53827007,1
observation,observation_source_value,1734006,1
observation,observation_source_value,38822007,24
drug_exposure,drug_source_value,53741008,59
drug_exposure,drug_source_value,230690007,60
drug_exposure,drug_source_value,113,898
drug_exposure,drug_source_value,267036007,171
observation,observation_source_value,1501000119109,5
drug_exposure,drug_source_value,126906006,18
observation,observation_source_value,770349000,61
observation,observation_source_value,271737000,356
observation,observation_source_value,386661006,802
drug_exposure,drug_source_value,47693006,15
drug_exposure,drug_source_value,230745008,2
measurement,unit_source_value,kU/L,1200
drug_exposure,drug_source_value,84757009,22
condition_occurrence,condition_source_value,161622006,2
observation,observation_source_value,156073000,39
observation,observation_source_value,410429000,36
observation,observation_source_value,49727002,618
drug_exposure,drug_source_value,359817006,16
drug_exposure,drug_source_value,49,289
observation,observation_source_value,14760008,1
drug_exposure,drug_source_value,203082005,24
observation,observation_source_value,91302008,31
drug_exposure,drug_source_value,65363002,163
observation,observation_source_value,68235000,39
drug_exposure,drug_source_value,414564002,1
drug_exposure,drug_source_value,254837009,23
observation,observation_source_value,82423001,40
