CONCEPT_ID,CONCEPT_NAME,NUM_PERSONS,PERCENT_PERSONS,RECORDS_PER_PERSON,PERCENT_MISSING_VALUES,PERCENT_PERSONS_NTILE,RECORDS_PER_PERSON_NTILE
3013721,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma,27,0.2389,10.1,0.0000,5,4
3020630,Protein [Mass/volume] in Serum or Plasma,27,0.2389,10.1,0.0000,5,4
3006923,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma,27,0.2389,10.1,0.0000,5,4
3024128,Bilirubin.total [Mass/volume] in Serum or Plasma,27,0.2389,10.1,0.0000,5,4
3024561,Albumin [Mass/volume] in Serum or Plasma,27,0.2389,10.1,0.0000,5,4
4052083,Measurement of respiratory function,24,0.2124, 1.2,1.0000,5,9
40768439,Drugs of abuse 5 panel - Urine by Screen method,23,0.2035, 1.7,1.0000,5,9
3000053,Head Occipital-frontal circumference,16,0.1416, 9.3,0.0000,5,5
46236327,Weight-for-length Per age and sex,16,0.1416, 9.3,0.0000,5,5
4091461,Standard pregnancy test,15,0.1327, 3.1,1.0000,5,7
3019897,Erythrocyte distribution width [Ratio] by Automated count,15,0.1327,11.6,0.0000,5,2
3004501,Glucose [Mass/volume] in Serum or Plasma,15,0.1327,11.6,0.0000,6,2
3019550,Sodium [Moles/volume] in Serum or Plasma,15,0.1327,11.6,0.0000,6,2
36306105,Troponin I.cardiac [Mass/volume] in Serum or Plasma by High sensitivity method,15,0.1327, 7.3,0.0000,6,5
3016723,Creatinine [Mass/volume] in Serum or Plasma,15,0.1327,11.6,0.0000,6,3
3013682,Urea nitrogen [Mass/volume] in Serum or Plasma,15,0.1327,11.6,0.0000,6,3
3023103,Potassium [Moles/volume] in Serum or Plasma,15,0.1327,11.6,0.0000,6,3
3001122,Ferritin [Mass/volume] in Serum or Plasma,15,0.1327, 7.3,0.0000,6,5
3015632,"Carbon dioxide, total [Moles/volume] in Serum or Plasma",15,0.1327,11.6,0.0000,6,3
3006906,Calcium [Mass/volume] in Serum or Plasma,15,0.1327,11.6,0.0000,6,3
3014576,Chloride [Moles/volume] in Serum or Plasma,15,0.1327,11.6,0.0000,6,3
4136494,HIV antigen test,13,0.1150, 2.4,1.0000,6,7
4151408,Syphilis infectious titer test,13,0.1150, 2.4,1.0000,7,7
4168615,Hepatitis B surface antigen measurement,13,0.1150, 2.4,1.0000,7,7
4191851,Urine screening test for diabetes,13,0.1150, 2.4,1.0000,7,7
4258677,Blood group typing,13,0.1150, 2.4,1.0000,7,7
4014117,Gonorrhea infection titer test,13,0.1150, 2.4,1.0000,7,8
4015052,"Hemogram, automated, with RBC, WBC, Hgb, Hct, Indices, Platelet count, and manual WBC differential",13,0.1150, 4.7,1.0000,7,6
4018595,Measurement of Varicella-zoster virus antibody,13,0.1150, 2.4,1.0000,7,8
4018603,"Hepatitis C antibody, confirmatory test",13,0.1150, 2.4,1.0000,7,8
4024509,Urine culture,13,0.1150, 2.4,1.0000,7,8
4041881,Urine protein test,13,0.1150, 2.4,1.0000,7,8
4078285,Alpha-fetoprotein test - antenatal,13,0.1150, 2.2,1.0000,7,8
4102154,"Skin test for tuberculosis, Tine test",13,0.1150, 2.4,1.0000,8,8
4149386,Urine screening for glucose,13,0.1150, 2.3,1.0000,8,8
4149631,Chlamydia antigen test,13,0.1150, 2.4,1.0000,8,8
4304821,Streptococcus pneumoniae group B antigen assay,12,0.1062, 2.3,1.0000,8,8
3022217,INR in Platelet poor plasma by Coagulation assay,12,0.1062, 7.2,0.0000,8,5
3020460,C reactive protein [Mass/volume] in Serum or Plasma,12,0.1062, 7.2,0.0000,8,5
3034426,Prothrombin time (PT),12,0.1062, 7.2,0.0000,8,5
3033575,Monocytes [#/volume] in Blood by Automated count,12,0.1062,12.6,0.0000,8,1
3037511,Lymphocytes/100 leukocytes in Blood by Automated count,12,0.1062,12.6,0.0000,8,2
3028615,Eosinophils [#/volume] in Blood by Automated count,12,0.1062,12.6,0.0000,8,2
3046279,Procalcitonin [Mass/volume] in Serum or Plasma,12,0.1062, 7.2,0.0000,8,5
3051714,Fibrin D-dimer FEU [Mass/volume] in Platelet poor plasma,12,0.1062, 7.2,0.0000,9,5
3027970,Globulin [Mass/volume] in Serum by calculation,12,0.1062, 8.3,0.0000,9,5
3013650,Neutrophils [#/volume] in Blood by Automated count,12,0.1062,12.6,0.0000,9,2
3007220,Creatine kinase [Enzymatic activity/volume] in Serum or Plasma,12,0.1062, 7.2,0.0000,9,5
3004327,Lymphocytes [#/volume] in Blood by Automated count,12,0.1062,12.6,0.0000,9,2
3008342,Neutrophils/100 leukocytes in Blood by Automated count,12,0.1062,12.6,0.0000,9,2
3013869,Basophils/100 leukocytes in Blood by Automated count,12,0.1062,12.6,0.0000,9,2
3011948,Monocytes/100 leukocytes in Blood by Automated count,12,0.1062,12.6,0.0000,9,2
3010457,Eosinophils/100 leukocytes in Blood by Automated count,12,0.1062,12.6,0.0000,9,2
3013429,Basophils [#/volume] in Blood by Automated count,12,0.1062,12.6,0.0000,9,2
3022250,Lactate dehydrogenase [Enzymatic activity/volume] in Serum or Plasma by Lactate to pyruvate reaction,12,0.1062, 7.2,0.0000,9,5
3001802,Microalbumin/Creatinine [Mass Ratio] in Urine,10,0.0885,17.2,0.0000,10,1
3008152,Bicarbonate [Moles/volume] in Arterial blood,9,0.0796,12.7,0.0000,10,1
3027801,Oxygen [Partial pressure] in Arterial blood,9,0.0796,12.7,0.0000,10,1
3009542,Hematocrit [Volume Fraction] of Blood,9,0.0796, 1.1,0.0000,10,9
3024882,Oxygen/Inspired gas setting [Volume Fraction] Ventilator,9,0.0796,12.7,0.0000,10,1
4033233,Peripheral blood smear interpretation,9,0.0796, 1.0,1.0000,10,10
3019977,pH of Arterial blood,9,0.0796,12.7,0.0000,10,1
3027946,Carbon dioxide [Partial pressure] in Arterial blood,9,0.0796,12.7,0.0000,10,1
40761014,Hemoglobin.gastrointestinal.lower [Presence] in Stool by Immunoassay --1st specimen,6,0.0531, 1.0,0.0000,10,10
3030315,Polyp size greatest dimension,6,0.0531, 1.0,0.0000,10,10
3049273,DXA Radius and Ulna [T-score] Bone density,6,0.0531, 1.0,0.5000,10,10
