analysis_id,analysis_name,elapsed_seconds
1010,Number of condition eras with end date < start date,0.01
1020,Number of condition era records by condition era start month,0.01
1100,Number of persons by location 3-digit zip,0.01
1101,Number of persons by location state,0.01
1102,Number of care sites by location 3-digit zip,0.01
1103,Number of care sites by location state,0.01
1200,Number of persons by place of service,0.01
1201,Number of visits by place of service,0.01
1202,Number of care sites by place of service,0.01
1203,Number of visits by place of service discharge type,0.01
1406,Length of payer plan (days) of first payer plan period by gender,0.14
1407,Length of payer plan (days) of first payer plan period by age decile,0.02
1408,"Number of persons by length of payer plan period, in 30d increments",0.01
1409,Number of persons with continuous payer plan in each year,0.02
1410,Number of persons with continuous payer plan in each month,0.02
1411,Number of persons by payer plan period start month,0.01
1412,Number of persons by payer plan period end month,0.01
1413,Number of persons by number of payer plan periods,0.01
1414,Number of persons with payer plan period before year-of-birth,0.08
1415,Number of persons with payer plan period end < payer plan period start,0.01
1425,Number of payer_plan_period records by payer_source_concept_id,0.01
1700,Number of records by cohort_concept_id,0.01
1701,Number of records with cohort end date < cohort start date,0.01
1800,"Number of persons with at least one measurement occurrence, by measurement_concept_id",0.03
1801,"Number of measurement occurrence records, by measurement_concept_id",0.02
1802,"Number of persons by measurement occurrence start month, by measurement_concept_id",0.17
1803,Number of distinct mesurement occurrence concepts per person,0.04
1804,"Number of persons with at least one mesurement  occurrence, by measurement_concept_id by calendar year by gender by age decile",0.12
1805,"Number of measurement occurrence records, by measurement_concept_id by measurement_type_concept_id",0.06
1806,Distribution of age by measurement_concept_id,0.09
1807,"Number of measurement occurrence records, by measurement_concept_id and unit_concept_id",0.03
1809,Number of measurement records with invalid person_id,0.02
1810,Number of measurement records outside valid observation period,0.02
1812,Number of measurement records with invalid provider_id,0.02
1813,Number of measurement records with invalid visit_id,0.02
1814,"Number of measurement records with no value (numeric, string, or concept)",0.12
1815,"Distribution of numeric values, by measurement_concept_id and unit_concept_id",0.05
1816,"Distribution of low range, by measurement_concept_id and unit_concept_id",0.05
1817,"Distribution of high range, by measurement_concept_id and unit_concept_id",0.09
1818,"Number of measurement records below/within/above normal range, by measurement_concept_id and unit_concept_id",0.02
1820,Number of measurement records  by measurement start month,0.04
1821,Number of measurement records with no numeric value,0.02
1822,"Number of measurement records, by measurement_concept_id and value_as_concept_id",0.02
1823,"Number of measurement records, by measurement_concept_id and operator_concept_id",0.03
1824,Number of co-occurring measurement measurement_concept_id pairs,0.29
1825,Number of measurement records by measurement_source_concept_id,0.02
1826,Number of measurement records by value_as_concept_id,0.02
1827,Number of measurement records by unit_concept_id,0.11
1891,Percentage of total persons that have at least x measurements,0.03
1900,"Source values mapped to concept_id 0 by table, by column, by source_value",0.04
2000,Number of patients with at least 1 Dx and 1 Rx,0.01
2001,Number of patients with at least 1 Dx and 1 Proc,0.01
2002,"Number of patients with at least 1 Meas, 1 Dx and 1 Rx",0.02
2003,Number of patients with at least 1 Visit,0.05
2100,"Number of persons with at least one device exposure, by device_concept_id",0.01
2101,"Number of device exposure records, by device_concept_id",0.01
2102,"Number of persons by device records  start month, by device_concept_id",0.01
2104,"Number of persons with at least one device exposure, by device_concept_id by calendar year by gender by age decile",0.01
2105,"Number of device exposure records, by device_concept_id by device_type_concept_id",0.02
2125,Number of device_exposure records by device_source_concept_id,0.01
2200,Number of persons with at least one note by  note_type_concept_id,0.01
2201,"Number of note records, by note_type_concept_id",0.01
