CDM_TABLE_NAME,CDM_FIELD_NAME,SOURCE_VALUE,RECORD_COUNT
observation,observation_source_value,198992004,3
measurement,measurement_source_value,33195004,34
observation,observation_source_value,92691004,5
measurement,measurement_source_value,429609002,1
observation,observation_source_value,49727002,61
measurement,measurement_source_value,305340004,1
measurement,measurement_source_value,398171003,24
measurement,measurement_source_value,28245-9,2
observation,observation_source_value,84229001,37
observation,observation_source_value,271825005,21
measurement,measurement_source_value,85548006,8
drug_exposure,drug_source_value,83664006,1
observation,observation_source_value,444470001,1
drug_exposure,drug_source_value,234466008,3
drug_exposure,drug_source_value,64859006,5
drug_exposure,drug_source_value,22298006,3
observation,observation_source_value,195662009,78
observation,observation_source_value,44465007,9
drug_exposure,drug_source_value,770349000,9
observation,observation_source_value,64859006,5
observation,observation_source_value,58150001,2
drug_exposure,drug_source_value,25064002,16
drug_exposure,drug_source_value,444814009,107
measurement,measurement_source_value,171207006,47
observation,observation_source_value,24079001,1
drug_exposure,drug_source_value,370247008,4
measurement,measurement_source_value,24623002,1
condition_occurrence,condition_source_value,162573006,3
drug_exposure,drug_source_value,113,73
drug_exposure,drug_source_value,40095003,2
measurement,measurement_source_value,65575008,7
observation,observation_source_value,237602007,5
observation,observation_source_value,132281000119108,6
measurement,measurement_source_value,60027007,2
measurement,measurement_source_value,112790001,1
observation,observation_source_value,370247008,4
measurement,measurement_source_value,15081005,11
measurement,measurement_source_value,449214001,3
measurement,measurement_source_value,301807007,13
measurement,measurement_source_value,312681000,5
observation,observation_source_value,278860009,20
observation,observation_source_value,201834006,6
drug_exposure,drug_source_value,62106007,7
measurement,measurement_source_value,88021-1,3
drug_exposure,drug_source_value,127013003,4
drug_exposure,drug_source_value,68962001,9
measurement,measurement_source_value,443497002,1
observation,observation_source_value,43724002,13
drug_exposure,drug_source_value,132281000119108,6
measurement,measurement_source_value,11466000,5
measurement,measurement_source_value,112798008,4
measurement,measurement_source_value,261352009,88
condition_occurrence,condition_status_source_value,,1538
measurement,measurement_source_value,46240-8,2
observation,observation_source_value,192127007,2
drug_exposure,drug_source_value,36955009,45
measurement,measurement_source_value,241055006,1
drug_exposure,drug_source_value,429007001,2
measurement,measurement_source_value,18946005,9
measurement,measurement_source_value,229064008,70
measurement,measurement_source_value,43075005,1
measurement,measurement_source_value,88040-1,10
measurement,measurement_source_value,91145-3,59
observation,observation_source_value,19169002,15
observation,observation_source_value,128613002,4
drug_exposure,drug_source_value,7200002,4
observation,observation_source_value,197927001,2
drug_exposure,drug_source_value,185086009,1
measurement,measurement_source_value,72106-8,10
observation,observation_source_value,713197008,2
drug_exposure,drug_source_value,70704007,5
measurement,measurement_source_value,35025007,32
drug_exposure,drug_source_value,90781000119102,1
observation,observation_source_value,840539006,86
measurement,measurement_source_value,288086009,22
measurement,measurement_source_value,305351004,3
drug_exposure,drug_source_value,92691004,5
observation,observation_source_value,40095003,2
measurement,measurement_source_value,236931002,3
observation,observation_source_value,16114001,4
observation,observation_source_value,431855005,4
drug_exposure,drug_source_value,55680006,3
observation,observation_source_value,7200002,4
drug_exposure,drug_source_value,254637007,3
condition_occurrence,condition_source_value,449868002,2
condition_occurrence,condition_source_value,428251008,3
observation,observation_source_value,203082005,3
measurement,measurement_source_value,122548005,2
measurement,measurement_source_value,287664005,2
observation,observation_source_value,67782005,6
observation,observation_source_value,83664006,1
drug_exposure,drug_source_value,53741008,5
measurement,measurement_source_value,302497006,10
measurement,measurement_source_value,DALY,994
observation,observation_source_value,284551006,1
drug_exposure,drug_source_value,284551006,1
measurement,measurement_source_value,66348005,22
observation,observation_source_value,44054006,5
measurement,measurement_source_value,91602002,2
measurement,measurement_source_value,38208-5,102
drug_exposure,drug_source_value,235389,1
drug_exposure,drug_source_value,359817006,3
drug_exposure,drug_source_value,162864005,54
drug_exposure,drug_source_value,267060006,3
measurement,measurement_source_value,1571000087109,2
drug_exposure,drug_source_value,10,56
drug_exposure,drug_source_value,248595008,27
drug_exposure,drug_source_value,196416002,3
drug_exposure,drug_source_value,140,968
observation,observation_source_value,196416002,3
drug_exposure,drug_source_value,82423001,3
measurement,measurement_source_value,29303009,11
measurement,measurement_source_value,169230002,48
measurement,measurement_source_value,168594001,2
observation,qualifier_source_value,,1608
observation,observation_source_value,241929008,3
observation,observation_source_value,267036007,25
drug_exposure,drug_source_value,16114001,4
observation,observation_source_value,444814009,107
observation,observation_source_value,75498004,6
measurement,measurement_source_value,415300000,9
drug_exposure,drug_source_value,424132000,3
drug_exposure,drug_source_value,68496003,9
observation,observation_source_value,254637007,3
observation,observation_source_value,5602001,1
observation,observation_source_value,283371005,5
drug_exposure,drug_source_value,237602007,5
observation,observation_source_value,82423001,3
drug_exposure,drug_source_value,239873007,3
drug_exposure,drug_source_value,840544004,88
measurement,measurement_source_value,26763009,24
measurement,measurement_source_value,367336001,8
measurement,measurement_source_value,274031008,10
drug_exposure,drug_source_value,74400008,3
drug_exposure,drug_source_value,24079001,1
drug_exposure,drug_source_value,55822004,14
drug_exposure,drug_source_value,124171000119105,4
measurement,measurement_source_value,16335031000119103,24
observation,observation_source_value,65966004,5
measurement,measurement_source_value,443529005,29
measurement,measurement_source_value,46706006,9
observation,observation_source_value,49436004,6
measurement,measurement_source_value,180256009,156
drug_exposure,drug_source_value,399211009,3
measurement,measurement_source_value,269911007,18
drug_exposure,drug_source_value,262574004,2
observation,observation_source_value,263102004,2
drug_exposure,drug_source_value,840539006,86
measurement,measurement_source_value,76746007,2
observation,observation_source_value,62106007,7
drug_exposure,drug_source_value,1121000119107,10
observation,observation_source_value,70704007,5
observation,observation_source_value,301011002,4
drug_exposure,drug_source_value,241929008,3
measurement,measurement_source_value,74016001,3
drug_exposure,drug_source_value,128613002,4
drug_exposure,drug_source_value,72892002,52
condition_occurrence,condition_source_value,162864005,54
drug_exposure,drug_source_value,88805009,3
drug_exposure,drug_source_value,57676002,9
observation,observation_source_value,65710008,9
observation,observation_source_value,232353008,4
drug_exposure,drug_source_value,201834006,6
measurement,measurement_source_value,271442007,29
drug_exposure,drug_source_value,706870000,8
observation,observation_source_value,55680006,3
observation,observation_source_value,254837009,4
measurement,measurement_source_value,104435004,8
drug_exposure,drug_source_value,278860009,20
drug_exposure,drug_source_value,10509002,67
drug_exposure,drug_source_value,254837009,4
drug_exposure,drug_source_value,115,15
procedure_occurrence,modifier_source_value,,3411
measurement,measurement_source_value,699253003,3
observation,observation_source_value,40055000,28
observation,observation_source_value,403190006,3
drug_exposure,drug_source_value,8,45
measurement,measurement_source_value,40701008,20
measurement,unit_source_value,,48765
measurement,measurement_source_value,384700001,5
drug_exposure,drug_source_value,302870006,5
drug_exposure,drug_source_value,446096008,3
drug_exposure,drug_source_value,3,26
observation,observation_source_value,88805009,3
measurement,measurement_source_value,237001001,2
observation,observation_source_value,124171000119105,4
measurement,measurement_source_value,180207008,1
drug_exposure,drug_source_value,249497008,5
measurement,measurement_source_value,76164006,1
observation,observation_source_value,156073000,3
observation,observation_source_value,10509002,67
observation,observation_source_value,230690007,6
drug_exposure,drug_source_value,410429000,2
measurement,measurement_source_value,65200003,14
measurement,measurement_source_value,162676008,9
drug_exposure,drug_source_value,283371005,5
measurement,measurement_source_value,399208008,41
observation,observation_source_value,6072007,1
drug_exposure,drug_source_value,59621000,23
observation,observation_source_value,74400008,3
condition_occurrence,condition_source_value,840544004,88
observation,observation_source_value,126906006,6
drug_exposure,drug_source_value,44054006,5
drug_exposure,drug_source_value,40275004,1
observation,observation_source_value,62564004,4
drug_exposure,drug_source_value,76571007,3
drug_exposure,drug_source_value,398254007,2
measurement,measurement_source_value,1225002,5
observation,unit_source_value,,1608
observation,observation_source_value,249497008,5
observation,observation_source_value,53741008,5
drug_exposure,drug_source_value,403190006,3
measurement,measurement_source_value,183450002,1
drug_exposure,drug_source_value,15777000,38
observation,observation_source_value,403192003,1
observation,observation_source_value,36971009,3
observation,observation_source_value,267102003,8
observation,observation_source_value,76571007,3
drug_exposure,drug_source_value,389087006,21
drug_exposure,drug_source_value,49727002,61
