CONCEPT_ID,CONCEPT_NAME,NUM_PERSONS,PERCENT_PERSONS,RECORDS_PER_PERSON,P25_VALUE,MEDIAN_VALUE,P75_VALUE,PERCENT_PERSONS_NTILE,RECORDS_PER_PERSON_NTILE
380378,Epilepsy,3,0.0246,1.0,1,1,1,6,6
4120613,Acquired coagulation disorder,3,0.0246,1.0,1,1,6,6,6
4208104,Drug overdose,3,0.0246,1.0,1,1,1,6,6
40486433,Perennial allergic rhinitis,3,0.0246,1.0,1,1,1,6,6
137613,Eclampsia in pregnancy,3,0.0246,1.0,14,21,21,6,6
196236,Septic shock,3,0.0246,1.0,1,1,1,6,6
40405599,Fibromyalgia,3,0.0246,1.0,1,1,1,6,7
4145808,Diarrhea symptom,3,0.0246,1.0,10,13,13,6,7
4079750,Osteoarthritis of knee,3,0.0246,1.0,1,1,1,6,7
436096,Chronic pain,3,0.0246,1.0,1,1,1,7,7
40318618,Complete miscarriage,3,0.0246,1.0,7,7,7,7,7
4055754,Impacted molars,3,0.0246,1.0,1,1,1,7,7
4229440,Chronic congestive heart failure,3,0.0246,1.0,1,1,1,7,7
4230399,Closed fracture of hip,3,0.0246,1.0,60,60,60,7,7
378419,Alzheimer's disease,3,0.0246,1.0,1,1,1,7,7
4310703,"Non-small cell carcinoma of lung, TNM stage 1",3,0.0246,1.0,1,1,1,7,7
4262136,Blighted ovum,3,0.0246,1.0,7,7,14,7,7
4329847,Myocardial infarction,3,0.0246,1.0,1,1,1,7,7
4296204,Epidermal burn of skin,3,0.0246,1.0,14,28,28,7,7
4283893,Sinusitis,3,0.0246,1.0,77,91,126,7,8
440448,Appendicitis,3,0.0246,1.0,1,1,1,7,8
4115276,Non-small cell lung cancer,3,0.0246,1.0,1,1,1,7,8
4116491,Escherichia coli urinary tract infection,3,0.0246,1.3,7,7,7,8,1
4056621,Recurrent urinary tract infection,2,0.0164,1.0,1,1,1,8,8
4084167,Acute allergic reaction,2,0.0164,1.5,0,0,0,8,1
4094814,Bullet wound,2,0.0164,1.0,1,1,1,8,8
439393,Pre-eclampsia,2,0.0164,1.0,28,28,42,8,8
4134304,Fracture subluxation of wrist,2,0.0164,1.0,60,60,60,8,8
4146173,Injury of tendon of the rotator cuff of shoulder,2,0.0164,1.0,30,30,60,8,8
4220631,Injury of kidney,2,0.0164,1.0,1,1,1,8,8
321042,Cardiac arrest,2,0.0164,1.0,1,1,1,8,8
4237458,Fracture of clavicle,2,0.0164,1.0,1,1,90,8,8
440086,Child attention deficit disorder,2,0.0164,1.0,1,1,231,8,8
195588,Cystitis,2,0.0164,1.0,7,7,7,8,8
37017023,Recurrent rectal polyp,2,0.0164,1.0,1,1,1,8,9
40479422,Injury of medial collateral ligament of knee,2,0.0164,1.0,1,1,67,9,9
40480160,Pathological fracture due to osteoporosis,2,0.0164,1.5,60,60,60,9,1
4043241,Familial Alzheimer's disease of early onset,2,0.0164,1.0,1,1,1,9,9
4299128,Full thickness burn,1,0.0082,1.0,28,28,28,9,9
4309027,Idiopathic atrophic hypothyroidism,1,0.0082,1.0,1,1,1,9,9
4245614,Bleeding from anus,1,0.0082,1.0,1,1,1,9,9
45769905,Microalbuminuria due to type 2 diabetes mellitus,1,0.0082,1.0,1,1,1,9,9
4196262,Metastasis from malignant tumor of prostate,1,0.0082,1.0,1,1,1,9,9
4341247,Protracted diarrhea,1,0.0082,1.0,1,1,1,9,9
133834,Atopic dermatitis,1,0.0082,1.0,4921,4921,4921,9,9
37016354,Neuropathy due to type 2 diabetes mellitus,1,0.0082,1.0,1,1,1,9,9
443601,Chronic kidney disease stage 2,1,0.0082,1.0,1,1,1,9,9
4180790,Malignant tumor of colon,1,0.0082,1.0,1,1,1,9,9
432545,Bacterial infectious disease,1,0.0082,1.0,1,1,1,10,10
4142905,Fracture of rib,1,0.0082,1.0,30,30,30,10,10
440674,Gout,1,0.0082,1.0,1,1,1,10,10
40479768,Injury of anterior cruciate ligament,1,0.0082,1.0,67,67,67,10,10
4109685,Laceration of foot,1,0.0082,1.0,14,14,14,10,10
438130,Opioid abuse,1,0.0082,1.0,1,1,1,10,10
4132546,Traumatic brain injury,1,0.0082,1.0,1,1,1,10,10
134438,Contact dermatitis,1,0.0082,1.0,633,633,633,10,10
316139,Heart failure,1,0.0082,1.0,1,1,1,10,10
258780,Emphysematous bronchitis,1,0.0082,1.0,1,1,1,10,10
199076,Tubal pregnancy,1,0.0082,1.0,1,1,1,10,10
4280726,Seasonal allergic rhinitis,1,0.0082,1.0,1,1,1,10,10
4296205,Partial thickness burn,1,0.0082,1.0,35,35,35,10,10
