analysis_id,analysis_name,elapsed_seconds
118,Number of observation periods with invalid person_id,0.01
213,Distribution of length of stay by visit_concept_id,0.02
501,"Number of records of death, by cause_concept_id",0.13
225,Number of visit_occurrence records by visit_source_concept_id,0.02
7,Number of persons with invalid provider_id,0.02
403,Number of distinct condition occurrence concepts per person,0.03
1816,"Distribution of low range, by measurement_concept_id and unit_concept_id",0.04
1,Number of persons,0.03
105,Length of observation (days) of first observation period,0.04
325,Number of provider records by specialty_source_concept_id,0.02
930,Number of drug_era records inside a valid observation period,0.01
1408,"Number of persons by length of payer plan period, in 30d increments",0.01
11,Number of non-deceased persons by year of birth by gender,0.01
807,"Number of observation occurrence records, by observation_concept_id and unit_concept_id",0.02
826,Number of observation records by value_as_concept_id,0.01
431,Proportion of people with at least one condition_occurrence record outside a valid observation period,0.01
212,"Number of persons with at least one visit occurrence, by calendar year by gender by age decile",0.02
531,Proportion of people with at least one death record outside a valid observation period,0.02
106,Length of observation (days) of first observation period by gender,0.03
1802,"Number of persons by measurement occurrence start month, by measurement_concept_id",0.07
1303,Number of distinct visit detail concepts per person,0.02
1300,"Number of persons with at least one visit detail, by visit_detail_concept_id",0.01
432,Proportion of condition_occurrence records outside a valid observation period,0.02
504,"Number of persons with a death, by calendar year by gender by age decile",0.01
500,"Number of persons with death, by cause_concept_id",0.01
1003,Number of distinct condition era concepts per person,0.02
515,Distribution of time from death to last observation,0.02
1814,"Number of measurement records with no value (numeric, string, or concept)",0.01
700,"Number of persons with at least one drug exposure, by drug_concept_id",0.23
2105,"Number of device exposure records, by device_concept_id by device_type_concept_id",0.01
1812,Number of measurement records with invalid provider_id,0.01
200,"Number of persons with at least one visit occurrence, by visit_concept_id",0.02
1307,Number of visit records with invalid person_id,0.01
2131,Proportion of people with at least one device_exposure record outside a valid observation period,0.06
1415,Number of persons with payer plan period end < payer plan period start,0.01
904,"Number of persons with at least one drug era, by drug_concept_id by calendar year by gender by age decile",0.01
827,Number of observation records by unit_concept_id,0.01
1806,Distribution of age by measurement_concept_id,0.10
1312,"Number of persons with at least one visit detail, by calendar year by gender by age decile",0.02
731,Proportion of people with at least one drug_exposure record outside a valid observation period,0.01
1800,"Number of persons with at least one measurement occurrence, by measurement_concept_id",0.03
1804,"Number of persons with at least one mesurement  occurrence, by measurement_concept_id by calendar year by gender by age decile",0.13
1030,Number of condition_era records inside a valid observation period,0.01
1313,Distribution of length of stay by visit_detail_concept_id,0.03
532,Proportion of death records that occur outside a valid observation period,0.01
710,Number of drug exposure records outside valid observation period,0.01
602,"Number of persons by procedure occurrence start month, by procedure_concept_id",0.02
1425,Number of payer_plan_period records by payer_source_concept_id,0.01
1827,Number of measurement records by unit_concept_id,0.02
632,Proportion of procedure_occurrence records outside a valid observation period,0.01
103,Distribution of age at first observation period,0.01
709,Number of drug exposure records with invalid person_id,0.02
2130,Number of device_exposure records inside a valid observation period,0.01
800,"Number of persons with at least one observation occurrence, by observation_concept_id",0.01
10,Number of all persons by year of birth by gender,0.02
1332,Proportion of visit_detail records outside a valid observation period,0.01
302,Number of providers with invalid care site id,0.01
420,Number of condition occurrence records by condition occurrence start month,0.01
801,"Number of observation occurrence records, by observation_concept_id",0.01
906,Distribution of age by drug_concept_id,0.02
206,Distribution of age by visit_concept_id,0.07
701,"Number of drug exposure records, by drug_concept_id",0.01
1801,"Number of measurement occurrence records, by measurement_concept_id",0.03
204,"Number of persons with at least one visit occurrence, by visit_concept_id by calendar year by gender by age decile",0.03
604,"Number of persons with at least one procedure occurrence, by procedure_concept_id by calendar year by gender by age decile",0.02
2101,"Number of device exposure records, by device_concept_id",0.01
1900,"Source values mapped to concept_id 0 by table, by column, by source_value",0.04
2200,Number of persons with at least one note by  note_type_concept_id,0.01
1407,Length of payer plan (days) of first payer plan period by age decile,0.05
901,"Number of drug era records, by drug_concept_id",0.03
1032,Proportion of condition_era records outside a valid observation period,0.01
902,"Number of persons by drug era start month, by drug_concept_id",0.01
416,"Number of condition occurrence records, by condition_status_concept_id, condition_type_concept_id",0.02
9,Number of persons with invalid care_site_id,0.01
704,"Number of persons with at least one drug exposure, by drug_concept_id by calendar year by gender by age decile",0.03
220,Number of visit occurrence records by visit occurrence start month,0.02
1309,Number of visit_detail records with invalid care_site_id,0.01
1203,Number of visits by place of service discharge type,0.01
730,Number of drug_exposure records inside a valid observation period,0.01
12,Number of persons by race and ethnicity,0.08
1000,"Number of persons with at least one condition era, by condition_concept_id",0.01
511,Distribution of time from death to last condition,0.07
804,"Number of persons with at least one observation occurrence, by observation_concept_id by calendar year by gender by age decile",0.02
691,Percentage of total persons that have at least x procedures,0.02
2003,Number of patients with at least 1 Visit,0.01
430,Number of condition_occurrence records inside a valid observation period,0.01
1311,Number of visit_detail records with end date < start date,0.02
230,Number of visit_occurrence records inside valid observation period,0.02
1302,"Number of persons by visit detail start month, by visit_detail_concept_id",0.02
908,Number of drug eras without valid person,0.01
2000,Number of patients with at least 1 Dx and 1 Rx,0.01
903,Number of distinct drug era concepts per person,0.06
2132,Proportion of device_exposure records outside a valid observation period,0.01
209,Number of visit records with invalid care_site_id,0.01
803,Number of distinct observation occurrence concepts per person,0.03
630,Number of procedure_occurrence records inside a valid observation period,0.02
1833,Proportion of measurement records inside a valid observation period and without a value,0.03
806,Distribution of age by observation_concept_id,0.16
1331,Proportion of people with at least one visit_detail record outside a valid observation period,0.01
791,Percentage of total persons that have at least x drug exposures,0.01
1832,Proportion of measurement records outside a valid observation period,0.01
1410,Number of persons with continuous payer plan in each month,0.01
605,"Number of procedure occurrence records, by procedure_concept_id by procedure_type_concept_id",0.01
226,Number of records by domain by visit_concept_id,0.03
101,"Number of persons by age, with age at first observation period",0.02
525,Number of death records by cause_source_concept_id,0.01
411,Number of condition occurrence records with end date < start date,0.01
1007,"Distribution of condition era length, by condition_concept_id",0.02
609,Number of procedure occurrence records with invalid person_id,0.01
1201,Number of visits by place of service,0.02
502,Number of persons by death month,0.01
1103,Number of care sites by location state,0.01
115,Number of persons with observation period end < observation period start,0.01
113,Number of persons by number of observation periods,0.01
717,Distribution of quantity by drug_concept_id,0.03
108,"Number of persons by length of observation period, in 30d increments",0.03
107,Length of observation (days) of first observation period by age decile,0.11
2104,"Number of persons with at least one device exposure, by device_concept_id by calendar year by gender by age decile",0.15
506,Distribution of age at death by gender,0.03
231,Proportion of people with at least one visit_occurrence record outside a valid observation period,0.02
805,"Number of observation occurrence records, by observation_concept_id by observation_type_concept_id",0.02
2001,Number of patients with at least 1 Dx and 1 Proc,0.01
911,Number of drug eras with end date < start date,0.01
102,"Number of persons by gender by age, with age at first observation period",0.05
2100,"Number of persons with at least one device exposure, by device_concept_id",0.01
210,Number of visit_occurrence records outside a valid observation period,0.01
713,Number of drug exposure records with invalid visit_id,0.01
509,Number of death records with invalid person_id,0.01
413,Number of condition occurrence records with invalid visit_id,0.01
1831,Proportion of people with at least one measurement record outside a valid observation period,0.02
1010,Number of condition_era records outside a valid observation period,0.02
2102,"Number of persons by device records  start month, by device_concept_id",0.01
510,Number of death records outside valid observation period,0.01
1822,"Number of measurement records, by measurement_concept_id and value_as_concept_id",0.02
1304,"Number of persons with at least one visit detail, by visit_detail_concept_id by calendar year by gender by age decile",0.02
613,Number of procedure occurrence records with invalid visit_id,0.01
601,"Number of procedure occurrence records, by procedure_concept_id",0.02
830,Number of observation records inside a valid observation period,0.01
920,Number of drug era records by drug era start month,0.02
400,"Number of persons with at least one condition occurrence, by condition_concept_id",0.14
1830,Number of visit_detail records inside a valid observation period,0.02
813,Number of observation records with invalid visit_id,0.01
410,Number of condition occurrence records outside valid observation period,0.02
1817,"Distribution of high range, by measurement_concept_id and unit_concept_id",0.04
1411,Number of persons by payer plan period start month,0.01
1818,"Number of measurement records below/within/above normal range, by measurement_concept_id and unit_concept_id",0.02
415,"Number of condition occurrence records, by condition_type_concept_id",0.22
1810,Number of measurement records outside valid observation period,0.02
625,Number of procedure_occurrence records by procedure_source_concept_id,0.02
907,"Distribution of drug era length, by drug_concept_id",0.01
401,"Number of condition occurrence records, by condition_concept_id",0.03
814,"Number of observation records with no value (numeric, string, or concept)",0.01
910,Number of drug_era records outside valid observation period,0.01
1001,"Number of condition era records, by condition_concept_id",0.01
712,Number of drug exposure records with invalid provider_id,0.23
1701,Number of records with cohort end date < cohort start date,0.09
1807,"Number of measurement occurrence records, by measurement_concept_id and unit_concept_id",0.16
1006,Distribution of age by condition_concept_id,0.19
1020,Number of condition era records by condition era start month,0.02
900,"Number of persons with at least one drug era, by drug_concept_id",0.01
409,Number of condition occurrence records with invalid person_id,0.01
414,"Number of condition occurrence records, by condition_status_concept_id",0.01
116,Number of persons with at least one day of observation in each year by gender and age decile,0.03
1008,Number of condition eras without valid person,0.01
211,Number of visit records with end date < start date,0.02
706,Distribution of age by drug_concept_id,0.05
119,Number of observation period records by period_type_concept_id,0.01
0,Source name,0.02
201,"Number of visit occurrence records, by visit_concept_id",0.01
1101,Number of persons by location state,0.01
802,"Number of persons by observation occurrence start month, by observation_concept_id",0.02
809,Number of observation records with invalid person_id,0.01
221,Number of persons by visit start year,0.01
2191,Percentage of total persons that have at least x device exposures,0.01
820,Number of observation records  by observation start month,0.14
514,Distribution of time from death to last procedure,0.02
716,Distribution of refills by drug_concept_id,0.09
1809,Number of measurement records with invalid person_id,0.02
301,Number of providers by specialty concept_id,0.02
104,Distribution of age at first observation period by gender,0.03
1805,"Number of measurement occurrence records, by measurement_concept_id by measurement_type_concept_id",0.02
530,Number of death records inside a valid observation period,0.02
1815,"Distribution of numeric values, by measurement_concept_id and unit_concept_id",0.69
109,Number of persons with continuous observation in each year,0.03
1330,Number of visit_detail records inside a valid observation period,0.01
114,Number of persons with observation period before year-of-birth,0.01
603,Number of distinct procedure occurrence concepts per person,0.02
1825,Number of measurement records by measurement_source_concept_id,0.02
1813,Number of measurement records with invalid visit_id,0.02
1310,Number of visit_detail records outside a valid observation period,0.01
203,Number of distinct visit occurrence concepts per person,0.04
